"[41.386263640000003, -81.494450689999994]",6,8/28/11 7:02 PM,Yay. Little League World Series!
"[42.531041999999999, -82.90854831]",6,8/28/11 7:02 PM,"I'm at Holiday Inn Express Suites & Hotel Roseville MI (31900 Little Mack Ave., at Masonic Blvd., Roseville) http://t.co/EbQPqgB"
"[39.992309570000003, -75.131119729999995]",6,8/28/11 7:02 PM,@_TweetTHIS what dorm r you in?
"[54.104106119999997, 28.336019929999999]",6,8/28/11 7:02 PM,@andykozik _ºÑ€ÑƒÑ‚__ !!!
"[19.47690987, -71.344714339999996]",6,8/28/11 7:02 PM,@Ninosh_Flow Jajajaj mi hermanasoooo
"[35.106754240000001, -92.455415599999995]",6,8/28/11 7:02 PM,Your always on my mind
"[40.973435600000002, -73.826951690000001]",6,8/28/11 7:02 PM,#nothingwrongwith having high standards...
"[47.611910999999999, -122.335178]",6,8/28/11 7:02 PM,"I'm at Saigon Vietnamese Restaurant II (1529 6th Ave., at Pine St., Seattle) http://t.co/8s86hNX"
"[30.191991529999999, -85.79712868]",6,8/28/11 7:02 PM,It feels absolutely AMAZiNG in #pcb today. Making me giddy for fall :)
"[39.003433000000001, -76.796367000000004]",6,8/28/11 7:02 PM,This Movie Goes Hard In The Paint
"[41.821340999999997, -71.489699999999999]",6,8/28/11 7:02 PM,"Carpet GUY Providence, RI Free stain protector application when you clean fou http://t.co/ORoJMwU Providence Carpet & Rug Dealers #coupon"
"[29.5912325, -98.370464330000004]",6,8/28/11 7:02 PM,@AyLaTayLa let me guess wing stop lol
"[40.725140600000003, -74.068154500000006]",6,8/28/11 7:02 PM,"I'm at Burger King (748 Bergen Ave, Montgomery St. & Bergen Ave., Jersey City) http://t.co/VYJZmPD"
"[41.821340999999997, -71.489699999999999]",6,8/28/11 7:02 PM,"Carpet GUY Providence, RI Clean 3 rooms get your hallway and stairs cleaned F http://t.co/ORoJMwU Providence Carpet & Rug Dealers #coupon"
"[41.309239599999998, -105.5593645]",6,8/28/11 7:02 PM,First Red Bull sine June! And they were 2 gor $4!! http://t.co/VUoMQA2
"[47.634444240000001, -122.32711494]",6,8/28/11 7:02 PM,I'm at Islander Yacht http://t.co/6sXqHqw
"[42.099885030000003, -70.942781080000003]",6,8/28/11 7:02 PM,@Bobbysparo eww #fspiders
"[29.98559028, -90.257367130000006]",6,8/28/11 7:02 PM,EveryBody Here Remember Me When I Was Small
"[37.408433600000002, -77.652310900000003]",6,8/28/11 7:02 PM,When will the power come back!?? This is making my day so boring.
"[32.16157973, -110.95527828]",6,8/28/11 7:02 PM,I just smile when he comes across my mind.... :)
"[41.997047000000002, -87.699612000000002]",6,8/28/11 7:02 PM,After 23 years I still love this place. (@ Tel Aviv Kosher Pizza) http://t.co/jklP0uj
"[40.879307599999997, -73.910269799999995]",6,8/28/11 7:02 PM,"@TheRealCarolina @theCarlaMarie and maybe a couple of ""THAT BITCH!"" ones too. Be safe out there."
"[30.3066286, -81.742390900000004]",6,8/28/11 7:02 PM,Sigh...
"[41.4277631, -81.5235311]",6,8/28/11 7:02 PM,My love @VickiChrissi_P came to c me :)
"[30.207556019999998, -92.023415709999995]",6,8/28/11 7:02 PM,Shit you see in the flats  http://t.co/LkrLtse
"[30.271806510000001, -91.994326040000004]",6,8/28/11 7:02 PM,Ok bak to napping I go
"[32.998808799999999, -80.211109500000006]",6,8/28/11 7:02 PM,#NP â™« Toot It & Boot It (YG)
"[34.21237533, -78.021971100000002]",6,8/28/11 7:02 PM,Over.this.day
"[33.861970200000002, -117.87926674000001]",6,8/28/11 7:02 PM,"I'm at The Bruery (715 Dunn Way, Placentia) http://t.co/9XPZonw"
"[42.947068999999999, -78.868401000000006]",6,8/28/11 7:02 PM,"Netfirms, Inc. Buffalo, NY Over 33% Off Netfirms Business Web Hosting. Build you http://t.co/WcbsTos Buffalo Internet Consultants #coupon"
"[34.201352280000002, -92.025677520000002]",6,8/28/11 7:02 PM,And they wonder y I call males my friends!!
"[25.955918140000001, -80.27060693]",6,8/28/11 7:02 PM,NOW INTRODUCING ==&gt; @miamistarlet30 &lt;== follow her
"[43.757559999999998, -79.4893]",6,8/28/11 7:02 PM,"Gonna mis ma cuz still, we clicked"
"[42.955916999999999, -87.910785000000004]",6,8/28/11 7:02 PM,I'm at Faith Builders International w/ @annette748 http://t.co/oWLNxUg
"[37.543598619999997, -121.98543477]",6,8/28/11 7:02 PM,"I'm at Petsmart (39410 Argonaut Street, Fremont) http://t.co/vmGpmKn"
"[43.522527830000001, -84.134949370000001]",6,8/28/11 7:02 PM,TREE TWEET!:3
"[36.105956370000001, -78.298376079999997]",6,8/28/11 7:02 PM,@Fort_Sanders910 let me stop b4 u start gettin all emotional like Jeremy hahaha
"[29.789357519999999, -95.464984920000006]",6,8/28/11 7:02 PM,"@TyySoIncredible lol naa since you said that, your gonna get it"
"[30.417636000000002, -86.657179999999997]",6,8/28/11 7:02 PM,I'm at Sbarro Pizzeria (Mary Esther) http://t.co/u3zvhpp
"[38.817127460000002, -76.981088540000002]",6,8/28/11 7:02 PM,We need to be on espn
"[39.25055759, -94.662864799999994]",6,8/28/11 7:02 PM,"I'm at Zona Rosa (8640 N Dixson Ave., Kansas City) w/ 5 others http://t.co/dJg0gJr"
"[30.207301399999999, -95.531702199999998]",6,8/28/11 7:02 PM,is every1 ok
"[40.03083333, -75.186388890000003]",6,8/28/11 7:02 PM,Thanks for checkin up ppls :) RT @YooGabbaGabba_: Hope @MurderManyMarty & @Fastlife_Ferg92 are iight. Ain't heard from them since Friday =/
"[46.488267489999998, -80.992163980000001]",6,8/28/11 7:02 PM,Wow #mushrooms are good but terrible on the guts
"[42.324392400000001, -71.065945400000004]",6,8/28/11 7:02 PM,Sen on di gyal dem wi di BUFF
"[30.401831319999999, -84.104828769999997]",6,8/28/11 7:02 PM,Holla @ me ;)
"[41.298669629999999, -81.915329330000006]",6,8/28/11 7:02 PM,Work needs to fly by ... I'm so excited to see Spy Kids 4 with then love of my life ... ARREIC
"[33.518129999999999, -86.853414000000001]",6,8/28/11 7:02 PM,"I'm at Hilltop Village Apartments-Birmingham Southern College (900 arkadelphia road, Birmingham) http://t.co/vYOWruo"
"[42.106510870000001, -88.112747999999996]",6,8/28/11 7:02 PM,"I'm at The House of Pooh (4569 Topaz Dr, Hoffman Estates) http://t.co/eK5LVx4"
"[37.835991020000002, -122.21972697]",6,8/28/11 7:02 PM,Anything you need you can find it at the market
"[41.594490010000001, -81.535131820000004]",6,8/28/11 7:02 PM,@TreeTrunks_ lol you right
"[41.687191499999997, -87.669359099999994]",6,8/28/11 7:02 PM,If u really cared miles couldn't even seperate us...
"[27.813993, -82.773111999999998]",6,8/28/11 7:02 PM,"Key Time Locksmiths St Petersburg, FL Any locksmith services that provides to http://t.co/GjCdZYa StPetersburg Locks & Locksmiths #coupon"
"[31.780931169999999, -106.49940042999999]",6,8/28/11 7:02 PM,@QueenAlexis_16 haha really why not?
"[34.0400238, -117.50127784999999]",6,8/28/11 7:02 PM,Quien quiere invitaciÃ_n a Google plus. ?
"[19.590478319999999, -99.034278200000003]",6,8/28/11 7:02 PM,Jaja como no te voy a querer... METERTE LA VERGA DE HULE EN TU CASA JAJAJA POBRES PENDEJOS #SIEMPREAZUL @Cruz_Azul TOMENLA PUTAS GATAS JAJA
"[34.070697879999997, -117.68699053]",6,8/28/11 7:02 PM,Things change that's life
"[42.067403679999998, -87.690363320000003]",6,8/28/11 7:02 PM,Rehearsing #IHateTommyFinch! Go to TelloFilms.com for more info on tickets for this amazing Chicago event! http://t.co/c9jMn1Q
"[29.525639300000002, -95.128709900000004]",6,8/28/11 7:02 PM,@KristenJea was he old
"[29.7791046, -95.326460699999998]",6,8/28/11 7:02 PM,"Slide up in it, slippery when wet"
